#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.173	-0.0865	-0.333333	0.666667	0.333333
0.174	-0.087	-0.333333	0.666667	0.333333
0.175	-0.0875	-0.333333	0.666667	0.333333
0.176	-0.088	-0.333333	0.666667	0.333333
0.177	-0.0885	-0.333333	0.666667	0.333333
0.178	-0.089	-0.333333	0.666667	0.333333
0.179	-0.0895	-0.333333	0.666667	0.333333
0.18	-0.09	-0.333333	0.666667	0.333333
0.181	-0.0905	-0.333333	0.666667	0.333333
0.182	-0.091	-0.333333	0.666667	0.333333
0.183	-0.0915	-0.333333	0.666667	0.333333
0.184	-0.092	-0.333333	0.666667	0.333333
0.185	-0.0925	-0.333333	0.666667	0.333333
0.186	-0.093	-0.333333	0.666667	0.333333
0.187	-0.0935	-0.333333	0.666667	0.333333
0.188	-0.094	-0.333333	0.666667	0.333333
0.189	-0.0945	-0.333333	0.666667	0.333333
0.19	-0.095	-0.333333	0.666667	0.333333
0.191	-0.0955	-0.333333	0.666667	0.333333
0.192	-0.096	-0.333333	0.666667	0.333333
0.193	-0.0965	-0.333333	0.666667	0.333333
0.194	-0.097	-0.333333	0.666667	0.333333
0.195	-0.0975	-0.333333	0.666667	0.333333
0.196	-0.098	-0.333333	0.666667	0.333333
0.197	-0.0985	-0.333333	0.666667	0.333333
0.198	-0.099	-0.333333	0.666667	0.333333
0.199	-0.0995	-0.333333	0.666667	0.333333
0.2	-0.1	-0.333333	0.666667	0.333333
0.201	-0.1005	-0.333333	0.666667	0.333333
0.202	-0.101	-0.333333	0.666667	0.333333
0.203	-0.1015	-0.333333	0.666667	0.333333
0.204	-0.102	-0.333333	0.666667	0.333333
0.205	-0.1025	-0.333333	0.666667	0.333333
0.206	-0.103	-0.333333	0.666667	0.333333
0.207	-0.1035	-0.333333	0.666667	0.333333
0.208	-0.104	-0.333333	0.666667	0.333333
0.209	-0.1045	-0.333333	0.666667	0.333333
0.21	-0.105	-0.333333	0.666667	0.333333
0.211	-0.1055	-0.333333	0.666667	0.333333
0.212	-0.106	-0.333333	0.666667	0.333333
0.213	-0.1065	-0.333333	0.666667	0.333333
0.214	-0.107	-0.333333	0.666667	0.333333
0.215	-0.1075	-0.333333	0.666667	0.333333
0.216	-0.108	-0.333333	0.666667	0.333333
0.217	-0.1085	-0.333333	0.666667	0.333333
0.218	-0.109	-0.333333	0.666667	0.333333
0.219	-0.1095	-0.333333	0.666667	0.333333
0.22	-0.11	-0.333333	0.666667	0.333333
0.221	-0.1105	-0.333333	0.666667	0.333333
0.222	-0.111	-0.333333	0.666667	0.333333
0.223	-0.1115	-0.333333	0.666667	0.333333
0.224	-0.112	-0.333333	0.666667	0.333333
0.225	-0.1125	-0.333333	0.666667	0.333333
0.226	-0.113	-0.333333	0.666667	0.333333
0.227	-0.1135	-0.333333	0.666667	0.333333
