#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0.208	-0.102111	-0.309587	0.631048	0.297714
0.209	-0.102559	-0.309397	0.630762	0.297429
0.21	-0.103008	-0.309207	0.630476	0.297143
0.211	-0.103457	-0.309016	0.63019	0.296857
0.212	-0.103905	-0.308826	0.629905	0.296571
0.213	-0.104354	-0.308635	0.629619	0.296286
0.214	-0.104803	-0.308445	0.629333	0.296
0.215	-0.105251	-0.308254	0.629047	0.295714
0.216	-0.1057	-0.308064	0.628762	0.295429
0.217	-0.106149	-0.307873	0.628476	0.295143
0.218	-0.106597	-0.307683	0.62819	0.294857
0.219	-0.107043	-0.307492	0.627905	0.294572
0.22	-0.107478	-0.307302	0.627619	0.294286
0.221	-0.107913	-0.307111	0.627333	0.294
0.222	-0.108349	-0.306921	0.627047	0.293714
0.223	-0.108784	-0.30673	0.626762	0.293429
0.224	-0.109219	-0.30654	0.626476	0.293143
0.225	-0.109654	-0.306349	0.62619	0.292857
0.226	-0.11009	-0.306159	0.625905	0.292571
0.227	-0.110525	-0.305968	0.625619	0.292286
0.228	-0.11096	-0.305778	0.625333	0.292
0.229	-0.111395	-0.305587	0.625048	0.291714
0.23	-0.111831	-0.305397	0.624762	0.291429
0.231	-0.112266	-0.305206	0.624476	0.291143
0.232	-0.112701	-0.305016	0.624191	0.290857
0.233	-0.113137	-0.304825	0.623905	0.290571
0.234	-0.113572	-0.304635	0.623619	0.290286
0.235	-0.114007	-0.304444	0.623333	0.29
0.236	-0.114442	-0.304254	0.623048	0.289714
0.237	-0.114878	-0.304063	0.622762	0.289428
0.238	-0.115313	-0.303873	0.622476	0.289143
0.239	-0.115748	-0.303682	0.622191	0.288857
0.24	-0.116183	-0.303492	0.621905	0.288571
0.241	-0.116619	-0.303301	0.621619	0.288286
0.242	-0.117054	-0.303111	0.621334	0.288
0.243	-0.117489	-0.30292	0.621048	0.287714
0.244	-0.117924	-0.30273	0.620762	0.287428
0.245	-0.11836	-0.302539	0.620476	0.287143
0.246	-0.118795	-0.302349	0.620191	0.286857
0.247	-0.11923	-0.302158	0.619905	0.286571
0.248	-0.119665	-0.301968	0.619619	0.286285
0.249	-0.120101	-0.301777	0.619334	0.286
0.25	-0.120536	-0.301587	0.619048	0.285714
0.251	-0.120985	-0.302158	0.619905	0.286571
0.252	-0.121433	-0.30273	0.620762	0.287428
0.253	-0.121882	-0.303301	0.621619	0.288285
0.254	-0.122331	-0.303873	0.622477	0.289143
0.255	-0.122779	-0.304444	0.623334	0.29
0.256	-0.123228	-0.305016	0.624191	0.290857
0.257	-0.123676	-0.305587	0.625048	0.291714
0.258	-0.124125	-0.306158	0.625905	0.292571
0.259	-0.124574	-0.30673	0.626762	0.293428
0.26	-0.125022	-0.307301	0.627619	0.294286
0.261	-0.125471	-0.307873	0.628476	0.295143
0.262	-0.12592	-0.308444	0.629333	0.296
0.263	-0.126368	-0.309016	0.630191	0.296857
0.264	-0.126817	-0.309587	0.631048	0.297714
0.265	-0.127266	-0.310158	0.631905	0.298571
0.266	-0.127714	-0.31073	0.632762	0.299428
0.267	-0.128163	-0.311301	0.633619	0.300286
0.268	-0.128612	-0.311873	0.634476	0.301143
0.269	-0.12906	-0.312444	0.635333	0.302
0.27	-0.129509	-0.313015	0.63619	0.302857
0.271	-0.129957	-0.313587	0.637048	0.303714
0.272	-0.130406	-0.314158	0.637905	0.304571
0.273	-0.130855	-0.31473	0.638762	0.305429
0.274	-0.131303	-0.315301	0.639619	0.306286
0.275	-0.131752	-0.315873	0.640476	0.307143
0.276	-0.132201	-0.316444	0.641333	0.308
0.277	-0.132649	-0.317015	0.64219	0.308857
0.278	-0.133098	-0.317587	0.643047	0.309714
0.279	-0.133547	-0.318158	0.643905	0.310571
0.28	-0.133995	-0.31873	0.644762	0.311429
0.281	-0.134444	-0.319301	0.645619	0.312286
0.282	-0.134923	-0.319873	0.646476	0.313143
0.283	-0.135412	-0.320444	0.647333	0.314
0.284	-0.1359	-0.321016	0.64819	0.314857
0.285	-0.136389	-0.321587	0.649047	0.315714
0.286	-0.136878	-0.322158	0.649904	0.316571
0.287	-0.137367	-0.32273	0.650762	0.317429
0.288	-0.137856	-0.323301	0.651619	0.318286
0.289	-0.138345	-0.323873	0.652476	0.319143
0.29	-0.138834	-0.324444	0.653333	0.32
0.291	-0.139322	-0.325016	0.65419	0.320857
0.292	-0.139811	-0.325587	0.655047	0.321714
0.293	-0.1403	-0.326159	0.655905	0.322572
0.294	-0.140789	-0.32673	0.656762	0.323429
0.295	-0.141278	-0.327302	0.657619	0.324286
0.296	-0.141767	-0.327873	0.658476	0.325143
0.297	-0.142256	-0.328444	0.659333	0.326
0.298	-0.142744	-0.329016	0.66019	0.326857
0.299	-0.143233	-0.329587	0.661047	0.327714
0.3	-0.143722	-0.330159	0.661905	0.328572
0.301	-0.144211	-0.33073	0.662762	0.329429
0.302	-0.1447	-0.331302	0.663619	0.330286
0.303	-0.145189	-0.331873	0.664476	0.331143
0.304	-0.145678	-0.332445	0.665333	0.332
0.305	-0.146167	-0.333016	0.66619	0.332857
0.306	-0.146655	-0.333588	0.667048	0.333715
0.307	-0.147144	-0.334159	0.667905	0.334572
0.308	-0.147633	-0.33473	0.668762	0.335429
0.309	-0.148122	-0.335302	0.669619	0.336286
0.31	-0.148611	-0.335873	0.670476	0.337143
0.311	-0.1491	-0.336445	0.671333	0.338
0.312	-0.149589	-0.337016	0.67219	0.338857
0.313	-0.150097	-0.337588	0.673048	0.339715
0.314	-0.150626	-0.338159	0.673905	0.340572
0.315	-0.151155	-0.338731	0.674762	0.341429
0.316	-0.151684	-0.339302	0.675619	0.342286
0.317	-0.152213	-0.339873	0.676476	0.343143
0.318	-0.152742	-0.340445	0.677333	0.344
0.319	-0.153271	-0.341016	0.67819	0.344857
0.32	-0.1538	-0.341588	0.679048	0.345714
0.321	-0.154329	-0.342159	0.679905	0.346572
0.322	-0.154858	-0.342731	0.680762	0.347429
0.323	-0.155387	-0.343302	0.681619	0.348286
0.324	-0.155916	-0.343873	0.682476	0.349143
0.325	-0.156445	-0.344445	0.683333	0.35
0.326	-0.156974	-0.345016	0.684191	0.350857
0.327	-0.157503	-0.345588	0.685048	0.351714
0.328	-0.158032	-0.346159	0.685905	0.352571
0.329	-0.158561	-0.346731	0.686762	0.353428
0.33	-0.15909	-0.347302	0.687619	0.354286
0.331	-0.159619	-0.347873	0.688476	0.355143
0.332	-0.160148	-0.348445	0.689333	0.356
0.333	-0.160677	-0.349016	0.690191	0.356857
0.334	-0.161206	-0.349588	0.691048	0.357714
0.335	-0.161735	-0.350159	0.691905	0.358571
0.336	-0.162264	-0.35073	0.692762	0.359428
0.337	-0.162793	-0.351302	0.693619	0.360285
0.338	-0.163322	-0.351873	0.694476	0.361143
0.339	-0.163851	-0.352445	0.695334	0.362
0.34	-0.16438	-0.353016	0.696191	0.362857
0.341	-0.164909	-0.353588	0.697048	0.363714
0.342	-0.165438	-0.354159	0.697905	0.364571
0.343	-0.165967	-0.35473	0.698762	0.365428
0.344	-0.166506	-0.355302	0.699619	0.366285
0.345	-0.167076	-0.355873	0.700476	0.367142
0.346	-0.167645	-0.356445	0.701334	0.368
0.347	-0.168214	-0.357016	0.702191	0.368857
0.348	-0.168783	-0.357588	0.703048	0.369714
0.349	-0.169352	-0.358159	0.703905	0.370571
0.35	-0.169922	-0.35873	0.704762	0.371428
0.351	-0.170491	-0.359302	0.705619	0.372285
0.352	-0.17106	-0.359873	0.706476	0.373142
0.353	-0.171629	-0.360445	0.707333	0.374
0.354	-0.172198	-0.361016	0.708191	0.374857
0.355	-0.172768	-0.361588	0.709048	0.375714
0.356	-0.173337	-0.362159	0.709905	0.376571
0.357	-0.173906	-0.36273	0.710762	0.377428
0.358	-0.174475	-0.363302	0.711619	0.378285
0.359	-0.175045	-0.363873	0.712476	0.379143
0.36	-0.175614	-0.364445	0.713333	0.38
0.361	-0.176183	-0.365016	0.71419	0.380857
0.362	-0.176752	-0.365587	0.715047	0.381714
0.363	-0.177321	-0.366159	0.715905	0.382571
0.364	-0.177891	-0.36673	0.716762	0.383428
0.365	-0.17846	-0.367302	0.717619	0.384285
0.366	-0.179029	-0.367873	0.718476	0.385143
0.367	-0.179598	-0.368445	0.719333	0.386
0.368	-0.180167	-0.369016	0.72019	0.386857
0.369	-0.180737	-0.369587	0.721047	0.387714
0.37	-0.181306	-0.370159	0.721904	0.388571
0.371	-0.181875	-0.37073	0.722762	0.389428
0.372	-0.182444	-0.371302	0.723619	0.390286
0.373	-0.183014	-0.371873	0.724476	0.391143
0.374	-0.183583	-0.372445	0.725333	0.392
0.375	-0.184152	-0.373016	0.72619	0.392857
0.376	-0.184761	-0.373587	0.727047	0.393714
0.377	-0.185371	-0.374159	0.727904	0.394571
0.378	-0.18598	-0.37473	0.728761	0.395428
0.379	-0.18659	-0.375302	0.729619	0.396286
0.38	-0.187199	-0.375873	0.730476	0.397143
0.381	-0.187808	-0.376445	0.731333	0.398
0.382	-0.188418	-0.377016	0.73219	0.398857
0.383	-0.189027	-0.377587	0.733047	0.399714
0.384	-0.189636	-0.378159	0.733904	0.400571
0.385	-0.190246	-0.37873	0.734761	0.401429
0.386	-0.190855	-0.379302	0.735619	0.402286
0.387	-0.191465	-0.379873	0.736476	0.403143
0.388	-0.192074	-0.380445	0.737333	0.404
0.389	-0.192683	-0.381016	0.73819	0.404857
0.39	-0.193293	-0.381587	0.739047	0.405714
0.391	-0.193902	-0.382159	0.739904	0.406571
0.392	-0.194511	-0.38273	0.740762	0.407429
0.393	-0.195121	-0.383302	0.741619	0.408286
0.394	-0.19573	-0.383873	0.742476	0.409143
0.395	-0.19634	-0.384444	0.743333	0.41
0.396	-0.196949	-0.385016	0.74419	0.410857
0.397	-0.197558	-0.385587	0.745047	0.411714
0.398	-0.198168	-0.386159	0.745905	0.412571
0.399	-0.198777	-0.38673	0.746762	0.413429
0.4	-0.199386	-0.387302	0.747619	0.414286
0.401	-0.199996	-0.387873	0.748476	0.415143
0.402	-0.200605	-0.388444	0.749333	0.416
0.403	-0.201215	-0.389016	0.75019	0.416857
0.404	-0.201824	-0.389587	0.751047	0.417714
0.405	-0.202433	-0.390159	0.751905	0.418572
0.406	-0.203043	-0.39073	0.752762	0.419429
0.407	-0.203682	-0.391302	0.753619	0.420286
0.408	-0.204332	-0.391873	0.754476	0.421143
0.409	-0.204981	-0.392444	0.755333	0.422
0.41	-0.205631	-0.393016	0.75619	0.422857
0.411	-0.20628	-0.393587	0.757047	0.423714
0.412	-0.20693	-0.394159	0.757905	0.424572
0.413	-0.207579	-0.39473	0.758762	0.425429
0.414	-0.208229	-0.395302	0.759619	0.426286
0.415	-0.208878	-0.395873	0.760476	0.427143
0.416	-0.209528	-0.396444	0.761333	0.428
0.417	-0.210178	-0.397016	0.76219	0.428857
0.418	-0.210827	-0.397587	0.763048	0.429715
0.419	-0.211477	-0.398159	0.763905	0.430572
0.42	-0.212126	-0.39873	0.764762	0.431429
0.421	-0.212776	-0.399301	0.765619	0.432286
0.422	-0.213425	-0.399873	0.766476	0.433143
0.423	-0.214075	-0.400444	0.767333	0.434
0.424	-0.214724	-0.401016	0.76819	0.434857
0.425	-0.215374	-0.401587	0.769048	0.435715
0.426	-0.216023	-0.402159	0.769905	0.436572
0.427	-0.216673	-0.40273	0.770762	0.437429
0.428	-0.217322	-0.403301	0.771619	0.438286
0.429	-0.217972	-0.403873	0.772476	0.439143
0.43	-0.218621	-0.404444	0.773333	0.44
0.431	-0.219271	-0.405016	0.774191	0.440858
0.432	-0.219921	-0.405587	0.775048	0.441715
0.433	-0.22057	-0.406159	0.775905	0.442572
0.434	-0.22122	-0.40673	0.776762	0.443429
0.435	-0.221869	-0.407301	0.777619	0.444286
0.436	-0.222519	-0.407873	0.778476	0.445143
0.437	-0.223168	-0.408444	0.779333	0.446
0.438	-0.223838	-0.409016	0.780191	0.446858
0.439	-0.224528	-0.409587	0.781048	0.447715
0.44	-0.225217	-0.410159	0.781905	0.448572
0.441	-0.225907	-0.41073	0.782762	0.449429
0.442	-0.226597	-0.411301	0.783619	0.450286
0.443	-0.227286	-0.411873	0.784476	0.451143
0.444	-0.227976	-0.412444	0.785334	0.452
0.445	-0.228666	-0.413016	0.786191	0.452857
0.446	-0.229356	-0.413587	0.787048	0.453715
0.447	-0.230045	-0.414159	0.787905	0.454572
0.448	-0.230735	-0.41473	0.788762	0.455429
0.449	-0.231425	-0.415301	0.789619	0.456286
0.45	-0.232115	-0.415873	0.790476	0.457143
0.451	-0.232804	-0.416444	0.791334	0.458
0.452	-0.233494	-0.417016	0.792191	0.458857
0.453	-0.234184	-0.417587	0.793048	0.459714
0.454	-0.234874	-0.418158	0.793905	0.460571
0.455	-0.235563	-0.41873	0.794762	0.461429
0.456	-0.236253	-0.419301	0.795619	0.462286
0.457	-0.236943	-0.419873	0.796476	0.463143
0.458	-0.237632	-0.420444	0.797334	0.464
0.459	-0.238322	-0.421016	0.798191	0.464857
0.46	-0.239012	-0.421587	0.799048	0.465714
0.461	-0.239702	-0.422158	0.799905	0.466571
0.462	-0.240391	-0.42273	0.800762	0.467428
0.463	-0.241081	-0.423301	0.801619	0.468286
0.464	-0.241771	-0.423873	0.802477	0.469143
0.465	-0.242461	-0.424444	0.803334	0.47
0.466	-0.24315	-0.425016	0.804191	0.470857
0.467	-0.24384	-0.425587	0.805048	0.471714
0.468	-0.24453	-0.426158	0.805905	0.472571
0.469	-0.245229	-0.42673	0.806762	0.473428
0.47	-0.245959	-0.427301	0.807619	0.474285
0.471	-0.246689	-0.427873	0.808477	0.475143
0.472	-0.247419	-0.428444	0.809334	0.476
0.473	-0.248149	-0.429016	0.810191	0.476857
0.474	-0.248879	-0.429587	0.811048	0.477714
0.475	-0.249609	-0.430158	0.811905	0.478571
0.476	-0.250339	-0.43073	0.812762	0.479428
0.477	-0.251069	-0.431301	0.813619	0.480285
0.478	-0.251799	-0.431873	0.814476	0.481143
0.479	-0.252529	-0.432444	0.815333	0.482
0.48	-0.253259	-0.433015	0.816191	0.482857
0.481	-0.253989	-0.433587	0.817048	0.483714
0.482	-0.254718	-0.434158	0.817905	0.484571
0.483	-0.255448	-0.43473	0.818762	0.485428
0.484	-0.256178	-0.435301	0.819619	0.486286
0.485	-0.256908	-0.435873	0.820476	0.487143
0.486	-0.257638	-0.436444	0.821333	0.488
0.487	-0.258368	-0.437015	0.82219	0.488857
0.488	-0.259098	-0.437587	0.823048	0.489714
0.489	-0.259828	-0.438158	0.823905	0.490571
0.49	-0.260558	-0.43873	0.824762	0.491428
0.491	-0.261288	-0.439301	0.825619	0.492286
0.492	-0.262018	-0.439873	0.826476	0.493143
0.493	-0.262748	-0.440444	0.827333	0.494
0.494	-0.263477	-0.441015	0.82819	0.494857
0.495	-0.264207	-0.441587	0.829047	0.495714
0.496	-0.264937	-0.442158	0.829904	0.496571
0.497	-0.265667	-0.44273	0.830762	0.497429
0.498	-0.266397	-0.443301	0.831619	0.498286
0.499	-0.267127	-0.443873	0.832476	0.499143
0.5	-0.267857	-0.444444	0.833333	0.5
0.501	-0.268127	-0.445587	1.00171	0.335047
0.502	-0.268397	-0.44673	1.00343	0.336762
0.503	-0.268667	-0.447873	1.00514	0.338476
0.504	-0.268937	-0.449016	1.00686	0.34019
0.505	-0.269207	-0.450158	1.00857	0.341904
0.506	-0.269477	-0.451301	1.01029	0.343619
0.507	-0.269748	-0.452444	1.012	0.345333
0.508	-0.270018	-0.453587	1.01371	0.347047
0.509	-0.270288	-0.45473	1.01543	0.348762
0.51	-0.270558	-0.455873	1.01714	0.350476
0.511	-0.270828	-0.457016	1.01886	0.35219
0.512	-0.271098	-0.458159	1.02057	0.353905
0.513	-0.271368	-0.459301	1.02229	0.355619
0.514	-0.271638	-0.460444	1.024	0.357333
0.515	-0.271908	-0.461587	1.02571	0.359048
0.516	-0.272178	-0.46273	1.02743	0.360762
0.517	-0.272448	-0.463873	1.02914	0.362476
0.518	-0.272718	-0.465016	1.03086	0.36419
0.519	-0.272989	-0.466159	1.03257	0.365905
0.52	-0.273259	-0.467302	1.03428	0.367619
0.521	-0.273529	-0.468445	1.036	0.369333
0.522	-0.273799	-0.469587	1.03771	0.371048
0.523	-0.274069	-0.47073	1.03943	0.372762
0.524	-0.274339	-0.471873	1.04114	0.374476
0.525	-0.274609	-0.473016	1.04286	0.376191
0.526	-0.274879	-0.474159	1.04457	0.377905
0.527	-0.275149	-0.475302	1.04628	0.379619
0.528	-0.275419	-0.476445	1.048	0.381334
0.529	-0.275689	-0.477588	1.04971	0.383048
